Line Number,Lines of Code,Function Name,Module,Source Code
19631,50,td_timer_end,RivieraWaves TD,https://github.com/lupyuen/AliOS-Things/blob/master/platform/mcu/bk7231u/beken/ip/lmac/src/td/td.c#L130
19681,23,td_reset,RivieraWaves TD,
19704,14,td_init,RivieraWaves TD,
19718,22,td_start,RivieraWaves TD,
19740,20,td_pck_ind,RivieraWaves TD,
19760,20,td_pck_ps_ind,RivieraWaves TD,
19780,25,bl_tpc_update_power_table,,
19805,17,bl_tpc_power_table_get,,
19822,20,bl_tpc_update_power_rate_11b,,
19842,21,bl_tpc_update_power_rate_11g,,
19863,23,bl_tpc_update_power_rate_11n,,
19886,19,tpc_update_tx_power,,
19905,43,tpc_update_vif_tx_power,,
19948,24,tpc_get_vif_tx_power_vs_rate,,
19972,16,tpc_update_frame_tx_power,,
19988,25,txl_int_fake_transfer,???RivieraWaves TXL,
20013,13,blmac_abs_timer_set,,
20026,17,txl_machdr_format,???RivieraWaves TXL,
20043,30,txl_cntrl_init,???RivieraWaves TXL,
20073,18,txl_cntrl_tx_check,???RivieraWaves TXL,
20091,49,txl_cntrl_halt_ac,???RivieraWaves TXL,
20140,23,txl_cntrl_flush_ac,???RivieraWaves TXL,
20163,11,txl_cntrl_clear_bcn_ac,???RivieraWaves TXL,
20174,19,txl_cntrl_clear_all_ac,???RivieraWaves TXL,
20193,12,txl_cntrl_inc_pck_cnt,???RivieraWaves TXL,
20205,17,txl_payload_handle,???RivieraWaves TXL,https://github.com/lupyuen/AliOS-Things/blob/master/platform/mcu/bk7231u/beken/ip/lmac/src/tx/txl/txl_cntrl.c#L3325
20222,180,txl_payload_handle_backup,???RivieraWaves TXL,
20402,45,txl_cntrl_push_int,???RivieraWaves TXL,
20447,19,txl_cntrl_push_int_force,???RivieraWaves TXL,
20466,48,txl_cntrl_push,???RivieraWaves TXL,
20514,68,txl_transmit_trigger,???RivieraWaves TXL,
20582,53,txl_reset,???RivieraWaves TXL,
20635,36,txl_cntrl_env_dump,???RivieraWaves TXL,
20671,22,txl_frame_init_desc,???RivieraWaves TXL,
20693,84,txl_frame_init,???RivieraWaves TXL,
20777,72,txl_frame_get,???RivieraWaves TXL,
20849,24,txl_frame_push,???RivieraWaves TXL,
20873,24,txl_frame_push_force,???RivieraWaves TXL,
20897,11,txl_frame_cfm,???RivieraWaves TXL,
20908,24,txl_frame_release,???RivieraWaves TXL,
20932,25,txl_frame_evt,???RivieraWaves TXL,
20957,48,txl_frame_send_null_frame,???RivieraWaves TXL,
21005,58,txl_frame_send_qosnull_frame,???RivieraWaves TXL,
21063,236,txl_frame_send_eapol_frame,???RivieraWaves TXL,
21299,23,txl_frame_dump,???RivieraWaves TXL,
21322,9,txl_hwdesc_init,???RivieraWaves TXL,
21331,9,txl_hwdesc_reset,???RivieraWaves TXL,
21340,14,vif_mgmt_bcn_to_evt,RivieraWaves VIF,
21354,28,vif_mgmt_init,RivieraWaves VIF,
21382,67,vif_mgmt_register,RivieraWaves VIF,
21449,44,vif_mgmt_unregister,RivieraWaves VIF,
21493,41,vif_mgmt_add_key,RivieraWaves VIF,
21534,30,vif_mgmt_del_key,RivieraWaves VIF,
21564,18,vif_mgmt_send_postponed_frame,RivieraWaves VIF,
21582,18,vif_mgmt_reset,RivieraWaves VIF,
21600,10,vif_mgmt_bcn_to_prog,RivieraWaves VIF,
21610,18,vif_mgmt_bcn_recv,RivieraWaves VIF,
21628,39,vif_mgmt_set_ap_bcn_int,RivieraWaves VIF,
21667,68,vif_mgmt_switch_channel,RivieraWaves VIF,https://github.com/lupyuen/AliOS-Things/blob/master/platform/mcu/bk7231u/beken/ip/lmac/src/vif/vif_mgmt.c#L756
21735,19,vif_mgmt_get_first_ap_inf,RivieraWaves VIF,
21754,15,me_init,RivieraWaves ME,
21769,37,me_freq_to_chan_ptr,RivieraWaves ME,
21806,22,michael_block,,
21828,34,me_mic_init,RivieraWaves ME,
21862,78,me_mic_calc,RivieraWaves ME,
21940,17,me_mic_end,RivieraWaves ME,
21957,36,me_set_sta_ht_vht_param,RivieraWaves ME,
21993,20,me_11n_nss_max,RivieraWaves ME,
22013,20,me_legacy_ridx_min,RivieraWaves ME,
22033,25,me_legacy_ridx_max,RivieraWaves ME,
22058,71,me_rate_translate,RivieraWaves ME,
22129,22,me_get_basic_rates,RivieraWaves ME,
22151,29,me_legacy_rate_bitfield_build,RivieraWaves ME,
22180,24,me_build_capability,RivieraWaves ME,
22204,29,me_init_bcmc_rate,RivieraWaves ME,
22233,26,me_tx_cfm_singleton,RivieraWaves ME,
22259,167,me_check_rc,RivieraWaves ME,https://github.com/lupyuen/AliOS-Things/blob/master/platform/mcu/bk7231u/beken/ip/umac/src/me/me_utils.c#L662
22426,111,me_update_buffer_control,RivieraWaves ME,
22537,11,me_init_rate,RivieraWaves ME,
22548,28,me_bw_check,RivieraWaves ME,
22576,91,me_beacon_check,RivieraWaves ME,
22667,51,me_sta_bw_nss_max_upd,RivieraWaves ME,
22718,21,me_add_chan_ctx,RivieraWaves ME,
22739,15,rc_get_nss,RivieraWaves RC,
22754,23,rc_get_mcs_index,RivieraWaves RC,
22777,31,rc_set_previous_mcs_index,RivieraWaves RC,
22808,36,rc_set_next_mcs_index,RivieraWaves RC,
22844,17,is_cck_group,,
22861,110,rc_update_retry_chain,RivieraWaves RC,
22971,28,rc_get_lowest_rate_config,RivieraWaves RC,
22999,43,rc_sort_samples_tp,RivieraWaves RC,
23042,31,rc_get_initial_rate_config,RivieraWaves RC,
23073,36,rc_calc_prob_ewma,RivieraWaves RC,
23109,29,rc_check_valid_rate,RivieraWaves RC,
23138,73,rc_new_random_rate,RivieraWaves RC,
23211,72,rc_update_counters,RivieraWaves RC,
23283,37,rc_get_duration,RivieraWaves RC,
23320,83,rc_update_bw_nss_max,RivieraWaves RC,
23403,23,rc_init_bcmc_rate,RivieraWaves RC,
23426,56,rc_check_fixed_rate_config,RivieraWaves RC,
23482,33,rc_calc_tp,RivieraWaves RC,https://github.com/lupyuen/AliOS-Things/blob/master/platform/mcu/bk7231u/beken/ip/umac/src/rc/rc.c#L750
23515,228,rc_update_stats,RivieraWaves RC,
23743,248,rc_init,RivieraWaves RC,https://github.com/lupyuen/AliOS-Things/blob/master/platform/mcu/bk7231u/beken/ip/umac/src/rc/rc.c#L2195
23991,162,rc_check,RivieraWaves RC,
24153,21,rxu_cntrl_machdr_len_get,???RivieraWaves RXU,
24174,57,rxu_cntrl_protected_handle,???RivieraWaves RXU,
24231,50,rxu_mpdu_upload_and_indicate,???RivieraWaves RXU,
24281,261,rxu_mgt_frame_check,???RivieraWaves RXU,
24542,17,rxu_cntrl_init,???RivieraWaves RXU,
24559,377,rxu_cntrl_frame_handle,???RivieraWaves RXU,https://github.com/lupyuen/AliOS-Things/blob/master/platform/mcu/bk7231u/beken/ip/umac/src/rxu/rxu_cntrl.c#L2543
24936,17,rxu_cntrl_monitor_pm,???RivieraWaves RXU,
24953,10,rxu_cntrl_get_pm,???RivieraWaves RXU,
24963,17,rxu_cntrl_evt,???RivieraWaves RXU,
24980,58,rxu_swdesc_upload_evt,???RivieraWaves RXU,
25038,29,scanu_confirm,RivieraWaves SCANU,
25067,15,scanu_raw_send_cfm,RivieraWaves SCANU,
25082,15,scanu_init,RivieraWaves SCANU,
25097,37,scanu_find_result,RivieraWaves SCANU,
25134,342,scanu_frame_handler,RivieraWaves SCANU,https://github.com/lupyuen/AliOS-Things/blob/master/platform/mcu/bk7231u/beken/ip/umac/src/scanu/scanu.c#L287
25476,12,scanu_search_by_bssid,RivieraWaves SCANU,
25488,38,scanu_search_by_ssid,RivieraWaves SCANU,
25526,23,scanu_rm_exist_ssid,RivieraWaves SCANU,
25549,165,scanu_scan_next,RivieraWaves SCANU,
25714,165,scanu_dma_cb,RivieraWaves SCANU,
25879,29,scanu_start,RivieraWaves SCANU,
25908,10,txl_get_seq_ctrl,???RivieraWaves TXL,
25918,36,sm_delete_resources,RivieraWaves SM,
25954,17,sm_frame_tx_cfm_handler,RivieraWaves SM,
25971,11,sm_init,RivieraWaves SM,
25982,64,sm_get_bss_params,RivieraWaves SM,
26046,63,sm_scan_bss,RivieraWaves SM,
26109,31,sm_join_bss,RivieraWaves SM,
26140,23,sm_add_chan_ctx,RivieraWaves SM,
26163,16,sm_send_next_bss_param,RivieraWaves SM,
26179,69,sm_set_bss_param,RivieraWaves SM,
26248,19,sm_disconnect_process,RivieraWaves SM,
26267,10,sm_deauth_cfm,RivieraWaves SM,
26277,57,sm_disconnect,RivieraWaves SM,
26334,69,sm_connect_ind,RivieraWaves SM,
26403,13,sm_supplicant_deauth_cfm,RivieraWaves SM,
26416,67,sm_auth_send,RivieraWaves SM,
26483,75,sm_assoc_req_send,RivieraWaves SM,
26558,19,sm_assoc_done,RivieraWaves SM,
26577,52,sm_auth_handler,RivieraWaves SM,
26629,58,sm_assoc_rsp_handler,RivieraWaves SM,
26687,39,sm_deauth_handler,RivieraWaves SM,
26726,69,sm_handle_supplicant_result,RivieraWaves SM,
26795,63,txu_cntrl_sec_hdr_append,RivieraWaves TXU,
26858,69,txu_cntrl_sechdr_len_compute,RivieraWaves TXU,
26927,146,txu_cntrl_frame_build,RivieraWaves TXU,https://github.com/lupyuen/AliOS-Things/blob/master/platform/mcu/bk7231u/beken/ip/umac/src/txu/txu_cntrl.c#L692
27073,101,txu_cntrl_push,RivieraWaves TXU,
27174,87,txu_cntrl_tkip_mic_append,RivieraWaves TXU,
27261,35,txu_cntrl_cfm,RivieraWaves TXU,
27296,28,txu_cntrl_protect_mgmt_frame,RivieraWaves TXU,
27324,28,_aid_list_delete,,
27352,22,apm_sta_delete,,
27374,23,apm_tx_cfm_handler,,
27397,13,apm_init,???RivieraWaves APM,
27410,48,apm_start_cfm,???RivieraWaves APM,
27458,16,apm_send_next_bss_param,???RivieraWaves APM,
27474,45,apm_set_bss_param,???RivieraWaves APM,
27519,31,apm_stop,???RivieraWaves APM,
27550,24,apm_tx_int_ps_check,???RivieraWaves APM,
27574,44,apm_tx_int_ps_postpone,???RivieraWaves APM,
27618,82,apm_tx_int_ps_get_postpone,???RivieraWaves APM,
27700,34,apm_tx_int_ps_clear,???RivieraWaves APM,
27734,12,apm_sta_fw_delete,???RivieraWaves APM,
27746,25,apm_sta_add,???RivieraWaves APM,
27771,76,apm_send_mlme,???RivieraWaves APM,
27847,19,apm_embedded_enabled,???RivieraWaves APM,
27866,34,apm_bcn_set,???RivieraWaves APM,
27900,61,apm_probe_req_handler,???RivieraWaves APM,
27961,27,apm_auth_handler,???RivieraWaves APM,
27988,198,apm_assoc_req_handler,???RivieraWaves APM,
28186,14,apm_deauth_handler,???RivieraWaves APM,
28200,19,apm_disassoc_handler,???RivieraWaves APM,
28219,9,apm_beacon_handler,???RivieraWaves APM,
28228,16,apm_sta_remove,???RivieraWaves APM,
28244,95,cfg_api_element_dump,???RivieraWaves CFG,
28339,49,cfg_api_element_general_set,???RivieraWaves CFG,
28388,9,cfg_api_element_general_get,???RivieraWaves CFG,
28397,23,cfg_api_element_set,???RivieraWaves CFG,
28420,11,co_list_init,RivieraWaves CO,
28431,20,co_list_push_back,RivieraWaves CO,
28451,17,co_list_push_front,RivieraWaves CO,
28468,17,co_list_pop_front,RivieraWaves CO,
28485,35,co_list_extract,RivieraWaves CO,https://github.com/lupyuen/AliOS-Things/blob/master/platform/mcu/bk7231u/beken/ip/common/co_list.c#L136
28520,20,co_list_cnt,RivieraWaves CO,
28540,35,co_list_insert,RivieraWaves CO,
28575,32,co_list_insert_after,RivieraWaves CO,
28607,32,co_list_remove,RivieraWaves CO,
28639,18,co_crc32,RivieraWaves CO,
28657,10,ke_evt_set,RivieraWaves KE,
28667,10,ke_evt_clear,RivieraWaves KE,
28677,11,bl_event_handle,,
28688,18,bl_fw_statistic_dump,,
28706,15,bl60x_fw_dump_statistic,,
28721,20,ke_evt_schedule,RivieraWaves KE,https://github.com/lupyuen/AliOS-Things/blob/master/platform/mcu/bk7231u/beken/ip/ke/ke_event.c#L212
28741,17,ke_init,RivieraWaves KE,
28758,11,ke_mem_init,RivieraWaves KE,
28769,37,ke_malloc,RivieraWaves KE,
28806,57,ke_free,RivieraWaves KE,
28863,22,ke_msg_alloc,RivieraWaves KE,
28885,22,ke_msg_send,RivieraWaves KE,
28907,13,ke_msg_send_basic,RivieraWaves KE,
28920,14,ke_msg_forward_and_change_id,RivieraWaves KE,
28934,61,ke_msg_free,RivieraWaves KE,https://github.com/lupyuen/AliOS-Things/blob/master/platform/mcu/bk7231u/beken/ip/ke/ke_msg.c#L213
28995,9,cmp_dest_id,,
29004,14,ke_task_local,,
29018,30,ke_handler_search,RivieraWaves KE,
29048,43,ke_state_set,RivieraWaves KE,
29091,27,ke_state_get,RivieraWaves KE,
29118,64,ke_task_schedule,RivieraWaves KE,
29182,9,ke_msg_discard,RivieraWaves KE,
29191,11,ke_msg_save,RivieraWaves KE,
29202,19,ke_timer_hw_set,RivieraWaves KE,
29221,10,cmp_abs_time,,
29231,15,cmp_timer_id,,
29246,59,ke_timer_set,RivieraWaves KE,
29305,41,ke_timer_clear,RivieraWaves KE,
29346,29,ke_timer_schedule,RivieraWaves KE,
29375,14,bl60x_current_time_us,,
29389,22,mac_ie_find,,
29411,39,mac_vsie_find,,
29450,31,GetTxEAPOLBuffer,WPA Supplicant (RK3399),
29481,20,UpdateEAPOLWcbLenAndTransmit,WPA Supplicant (RK3399),
29501,13,keyMgmtProcessMsgExt,WPA Supplicant (RK3399),
29514,14,KeyMgmtInitSta,WPA Supplicant (RK3399),
29528,20,keyMgmtSta_StartSession,WPA Supplicant (RK3399),
29548,17,init_customApp_mibs,WPA Supplicant (RK3399),
29565,19,supplicantIsEnabled,WPA Supplicant (RK3399),
29584,25,supplicantInitSession,WPA Supplicant (RK3399),
29609,25,supplicantDisable,WPA Supplicant (RK3399),
29634,50,supplicantEnable,WPA Supplicant (RK3399),
29684,19,keyMgmtFormatWpaRsnIe,WPA Supplicant (RK3399),
29703,46,GeneratePWKMsg2,WPA Supplicant (RK3399),
29749,58,KeyMgmtStaHsk_Recvd_PWKMsg1,WPA Supplicant (RK3399),https://github.com/lupyuen/rk3399-kernel/blob/main/drivers/net/wireless/rockchip_wlan/mvl88w8977/mlan/esa/keyMgmtSta.c#L572-L723
29807,20,supplicantInit,WPA Supplicant (RK3399),
29827,23,allocSupplicantData,WPA Supplicant (RK3399),https://github.com/lupyuen/rk3399-kernel/blob/main/drivers/net/wireless/rockchip_wlan/mvl88w8977/mlan/esa/keyMgmtSta.c#L81
29850,16,keyMgmtGetKeySize,WPA Supplicant (RK3399),
29866,88,add_key_to_mac,???WPA Supplicant,
29954,29,keyMgmtKeyGroupTxDone,WPA Supplicant (RK3399),
29983,35,GenerateGrpMsg2,WPA Supplicant (RK3399),
30018,28,KeyMgmtStaHsk_Recvd_GrpMsg1,WPA Supplicant (RK3399),
30046,40,add_mfp_key_to_mac,WPA Supplicant (RK3399),
30086,23,keyMgmtPlumbPairwiseKey,WPA Supplicant (RK3399),
30109,19,keyMgmtKeyPairwiseTxDone,WPA Supplicant (RK3399),
30128,48,GeneratePWKMsg4,WPA Supplicant (RK3399),
30176,28,KeyMgmtStaHsk_Recvd_PWKMsg3,WPA Supplicant (RK3399),
30204,27,ProcessKeyMgmtDataSta,WPA Supplicant (RK3399),
30231,27,ProcessEAPoLPkt,WPA Supplicant (RK3399),
30258,112,process_rsn_ie,???WPA Supplicant,
30370,65,process_wpa_ie,???WPA Supplicant,
30435,16,keyMgmtStaRsnSecuredTimeoutHandler,WPA Supplicant (RK3399),
30451,12,supplicantGenerateRand,WPA Supplicant (RK3399),
30463,41,ComputeEAPOL_MIC,WPA Supplicant (RK3399),
30504,32,keyMgmtGetKeySize_internal,WPA Supplicant (RK3399),
30536,36,isApReplayCounterFresh,WPA Supplicant (RK3399),
30572,29,updateApReplayCounter,WPA Supplicant (RK3399),
30601,17,formEAPOLEthHdr,WPA Supplicant (RK3399),
30618,28,IsEAPOL_MICValid,WPA Supplicant (RK3399),
30646,32,KeyMgmtSta_PopulateEAPOLLengthMic,WPA Supplicant (RK3399),
30678,19,parseKeyKDE,WPA Supplicant (RK3399),
30697,34,parseKeyKDE_DataType,WPA Supplicant (RK3399),
30731,26,parseKeyDataGTK,WPA Supplicant (RK3399),
30757,40,KeyMgmtSta_ApplyKEK,WPA Supplicant (RK3399),
30797,27,KeyMgmtSta_IsRxEAPOLValid,WPA Supplicant (RK3399),
30824,48,KeyMgmtSta_PrepareEAPOLFrame,WPA Supplicant (RK3399),
30872,23,supplicantAkmIsWpaWpa2,WPA Supplicant (RK3399),
30895,18,supplicantAkmIsWpa2,WPA Supplicant (RK3399),
30913,24,supplicantAkmIsWpaWpa2Psk,WPA Supplicant (RK3399),
30937,19,supplicantAkmUsesKdf,WPA Supplicant (RK3399),
30956,35,supplicantConstructContext,WPA Supplicant (RK3399),
30991,24,KeyMgmt_DerivePTK,WPA Supplicant (RK3399),
31015,29,KeyMgmtSta_DeriveKeys,WPA Supplicant (RK3399),
31044,19,SetEAPOLKeyDescTypeVersion,WPA Supplicant (RK3399),
31063,28,GetKeyMsgNonceFromEAPOL,WPA Supplicant (RK3399),
31091,33,ProcessRxEAPOL_PwkMsg3,WPA Supplicant (RK3399),
31124,47,ProcessRxEAPOL_GrpMsg1,WPA Supplicant (RK3399),
31171,17,KeyMgmtResetCounter,WPA Supplicant (RK3399),
31188,19,keyMgmtSta_StartSession_internal,WPA Supplicant (RK3399),
31207,19,KeyMgmtSta_InitSession,WPA Supplicant (RK3399),
31226,18,set_psk,???WPA Supplicant,
31244,12,remove_psk,???WPA Supplicant,
31256,39,bl_sha256_crypto_kdf,???WPA Supplicant,
31295,29,pmkCacheFindPSK,WPA Supplicant (RK3399),
31324,22,pmkCacheSetPassphrase,WPA Supplicant (RK3399),
31346,16,pmkCacheInit,WPA Supplicant (RK3399),
31362,16,pmkCacheRomInit,WPA Supplicant (RK3399),
31378,36,pmkCacheNewElement,WPA Supplicant (RK3399),
31414,34,pmkCacheUpdateReplacementRank,WPA Supplicant (RK3399),
31448,31,pmkCacheFindPSKElement,WPA Supplicant (RK3399),
31479,26,pmkCacheAddPSK,WPA Supplicant (RK3399),
31505,20,pmkCacheDeletePSK,WPA Supplicant (RK3399),
31525,27,pmkCacheGetHexNibble,WPA Supplicant (RK3399),
31552,36,pmkCacheGeneratePSK,WPA Supplicant (RK3399),
31588,37,prepare_key,???WPA Supplicant,
31625,41,rc4,???WPA Supplicant,
31666,25,RC4_Encrypt,WPA Supplicant (RK3399),
31691,81,sha256_compress,???WPA Supplicant,
31772,20,sha256_init,???WPA Supplicant,
31792,110,sha256_vector,???WPA Supplicant,
31902,71,hmac_sha256_vector,???WPA Supplicant,
31973,24,KeyMgmtInit,WPA Supplicant (RK3399),
31997,35,PrepDefaultEapolMsg,WPA Supplicant (RK3399),
32032,40,GeneratePWKMsg1,WPA Supplicant (RK3399),
32072,61,GeneratePWKMsg3,WPA Supplicant (RK3399),
32133,38,ProcessPWKMsg4,WPA Supplicant (RK3399),
32171,50,GenerateApEapolMsg,WPA Supplicant (RK3399),
32221,37,ProcessPWKMsg2,WPA Supplicant (RK3399),
32258,21,SendEAPOLMsgUsingBufDesc,WPA Supplicant (RK3399),
32279,41,ProcessKeyMgmtDataAp,WPA Supplicant (RK3399),
32320,18,InitStaKeyInfo,WPA Supplicant (RK3399),
32338,14,RemoveAPKeyInfo,WPA Supplicant (RK3399),
32352,31,InitGroupKey,WPA Supplicant (RK3399),
32383,28,GenerateGTK_internal,WPA Supplicant (RK3399),
32411,64,PopulateKeyMsg,WPA Supplicant (RK3399),
32475,49,prepareKDE,WPA Supplicant (RK3399),
32524,46,Encrypt_keyData,WPA Supplicant (RK3399),
32570,18,KeyMgmtAp_DerivePTK,WPA Supplicant (RK3399),
32588,19,KeyData_CopyWPAWP2,WPA Supplicant (RK3399),
32607,18,KeyData_UpdateKeyMaterial,WPA Supplicant (RK3399),
32625,12,ROM_InitGTK,WPA Supplicant (RK3399),
32637,17,InitKeyMgmtInfo,???WPA Supplicant,
32654,16,cm_GetApInfo,???WPA Supplicant,
32670,16,cm_GetApData,???WPA Supplicant,
32686,26,cm_AllocAPResources,???WPA Supplicant,
32712,55,cm_AllocResources,???WPA Supplicant,
32767,21,cm_DeleteConnection,???WPA Supplicant,
32788,18,cm_SetPeerAddr,???WPA Supplicant,
32806,23,cm_SetComData,???WPA Supplicant,
32829,19,assert_rec,???BL602 WiFi,
32848,10,assert_err,???BL602 WiFi,
